SiteCode,ParentGlobalID,tmean,tmax,tmin,ppt,ppt.m01,ppt.m02,ppt.m03,ppt.m04,ppt.m05,ppt.m06,ppt.m07,ppt.m08,ppt.m09,ppt.m10,ppt.m11,ppt.m12,temp.m01,temp.m02,temp.m03,temp.m04,temp.m05,temp.m06,temp.m07,temp.m08,temp.m09,temp.m10,temp.m11,temp.m12,BFI,Elev_m,MeanSnowPersistence_10,MeanSnowPersistence_05,MeanSnowPersistence_01,SnowDom_SP10,SnowDom_SP05,SnowDom_SP01,CalcTime
ALSE8667_B,00f3717a-2bab-4bdf-8f1a-f88dafcf9e27,15.2600002288818,21.5499992370605,8.96000003814697,1365.18005371094,125.930000305176,132.440002441406,133.210006713867,114.26000213623,113.76000213623,110.410003662109,125.410003662109,98.0899963378906,91.7600021362305,87.7699966430664,116.209999084473,115.930000305176,4.6399998664856,6.67999982833862,10.8699998855591,15.1199998855591,19.3099994659424,23.2600002288818,25.1299991607666,24.7800006866455,21.3899993896484,15.5100002288818,10.4799995422363,5.90999984741211,46,343,1.35546052455902,1.42117774486542,1.1962982416153,Not snow-dominated,Not snow-dominated,Not snow-dominated,2022-11-17T22:08:58Z
ALSE8673_B,fef4bf5b-1fcf-4af4-b8de-46b59fb88e3a,17.2099990844727,23.8099994659424,10.6099996566772,1387.72998046875,133.479995727539,138.990005493164,134.470001220703,110.73999786377,105.370002746582,109.970001220703,121.199996948242,101.900001525879,98.0500030517578,86.7399978637695,126.680000305176,120.139999389648,6.53999996185303,8.68000030517578,12.7799997329712,16.7800006866455,21.3500003814697,25.1900005340576,26.8999996185303,26.6499996185303,23.7099990844727,17.6299991607666,12.4499998092651,7.90000009536743,42,133,0.293281465768814,0.262175530195236,0.49342480301857,Not snow-dominated,Not snow-dominated,Not snow-dominated,2022-11-17T22:08:58Z
ALSE8674_B,e6371059-21e2-47f8-ba26-a640ca565993,17.25,23.8299999237061,10.6599998474121,1389.17004394531,133.490005493164,139.039993286133,134.669998168945,110.709999084473,105.480003356934,110.01000213623,121.339996337891,102.25,98.4000015258789,86.6699981689453,126.839996337891,120.269996643066,6.53999996185303,8.68000030517578,12.8100004196167,16.8199996948242,21.4099998474121,25.25,26.9699993133545,26.6900005340576,23.7199993133545,17.6800003051758,12.4399995803833,7.90999984741211,42,134,0.286763966083527,0.232874676585197,0.390397667884827,Not snow-dominated,Not snow-dominated,Not snow-dominated,2022-11-17T22:08:58Z
ALSE8675_B,ec43bef6-b1fb-4e4d-90e3-3b23102630e9,18.9300003051758,25.6700000762939,12.1800003051758,1543.41003417969,125.51000213623,132.589996337891,154.610000610352,100.279998779297,115.790000915527,153.770004272461,181,143.169998168945,115.660003662109,91.3300018310547,118.220001220703,111.480003356934,9.17000007629395,11.1499996185303,14.8999996185303,18.4799995422363,22.8400001525879,26.3899993896484,27.5499992370605,27.1800003051758,24.8400001525879,19.4899997711182,14.5200004577637,10.6000003814697,52,78,0.778918743133545,0.60414320230484,0.327695667743683,Not snow-dominated,Not snow-dominated,Not snow-dominated,2022-11-17T22:08:58Z
ALSE8676_B,87a7496a-a009-44f9-ac00-b1aff9ccf6b2,18.9699993133545,25.6499996185303,12.289999961853,1543.61999511719,125.449996948242,132.479995727539,154.610000610352,100.209999084473,115.910003662109,153.809997558594,181.270004272461,143.259994506836,115.650001525879,91.2300033569336,118.230003356934,111.51000213623,9.1899995803833,11.1700000762939,14.9499998092651,18.5400009155273,22.8999996185303,26.4500007629395,27.6100006103516,27.2399997711182,24.9099998474121,19.5499992370605,14.5600004196167,10.6300001144409,52,78,0.792875587940216,0.630508542060852,0.2566157579422,Not snow-dominated,Not snow-dominated,Not snow-dominated,2022-11-17T22:08:58Z
ALSE8939_B,d3131921-ea66-46b7-b4aa-4696369d0318,17.5900001525879,24.1700000762939,11,1316.65002441406,114.050003051758,125.5,151.039993286133,98.1600036621094,85.9400024414062,109.160003662109,129.529998779297,95.9599990844727,88.5299987792969,70.5299987792969,142.100006103516,106.150001525879,7.46999979019165,9.47999954223633,13.289999961853,16.9500007629395,21.6000003814697,25.3500003814697,26.9400005340576,26.6299991607666,23.7700004577637,17.9899997711182,12.9099998474121,8.64999961853027,43,123,0.541186690330505,0.512348175048828,0.314873665571213,Not snow-dominated,Not snow-dominated,Not snow-dominated,2022-11-17T22:08:58Z
ALSE8940_B,c460151d-fc05-4698-b99f-88e9589f7c02,17.6900005340576,24.2900009155273,11.0900001525879,1316.08996582031,113.970001220703,125.440002441406,150.970001220703,98.0999984741211,85.879997253418,109.089996337891,129.539993286133,95.8899993896484,88.4300003051758,70.4899978637695,142.199996948242,106.089996337891,7.61999988555908,9.63000011444092,13.4099998474121,17.0499992370605,21.7000007629395,25.4300003051758,27.0300006866455,26.7199993133545,23.8799991607666,18.0599994659424,12.9899997711182,8.80000019073486,43,113,0.546183049678802,0.527720332145691,0.326659798622131,Not snow-dominated,Not snow-dominated,Not snow-dominated,2022-11-17T22:08:58Z
ALSE8941_B,262f2591-a84d-4551-a00c-9c2017d2642e,17.6200008392334,24.1900005340576,11.0500001907349,1315.03002929688,113.819999694824,125.430000305176,150.960006713867,97.8600006103516,85.7799987792969,109.059997558594,129.509994506836,95.8000030517578,88.2099990844727,70.1900024414062,142.660003662109,105.75,7.5,9.52000045776367,13.3199996948242,16.9699993133545,21.6200008392334,25.3700008392334,26.9699993133545,26.6700000762939,23.8199996948242,18.0400009155273,12.9700002670288,8.71000003814697,43,113,0.553752958774567,0.537014544010162,0.3659707903862,Not snow-dominated,Not snow-dominated,Not snow-dominated,2022-11-17T22:08:58Z
ALSE9185_B,bff9df71-fd0e-426f-8ab8-dc440f406814,17.5599994659424,24.0400009155273,11.0799999237061,1374.32995605469,134.759994506836,138.619995117188,131.520004272461,117.099998474121,104.889999389648,106.150001525879,120.199996948242,98.9499969482422,92.3300018310547,88.6399993896484,123.949996948242,117.220001220703,6.8600001335144,9.02999973297119,13.1400003433228,17.0799999237061,21.7600002288818,25.5799999237061,27.2800006866455,27.0300006866455,24,18.0200004577637,12.6700000762939,8.27000045776367,37,82,0.293332010507584,0.199421361088753,0.249563217163086,Not snow-dominated,Not snow-dominated,Not snow-dominated,2022-11-17T22:08:58Z
ALSE9186_B,ab143440-6b38-4a96-8ae0-e0530d6e92ba,17.5599994659424,24.0400009155273,11.0799999237061,1374.32995605469,134.759994506836,138.619995117188,131.520004272461,117.099998474121,104.889999389648,106.150001525879,120.199996948242,98.9499969482422,92.3300018310547,88.6399993896484,123.949996948242,117.220001220703,6.8600001335144,9.02999973297119,13.1400003433228,17.0799999237061,21.7600002288818,25.5799999237061,27.2800006866455,27.0300006866455,24,18.0200004577637,12.6700000762939,8.27000045776367,37,82,0.291590720415115,0.199936717748642,0.259187906980515,Not snow-dominated,Not snow-dominated,Not snow-dominated,2022-11-17T22:08:58Z
ALSE9443_BO,b79e3be4-4a32-4136-ad86-4741fd8ea5eb,17.2399997711182,23.8099994659424,10.6700000762939,1388.40002441406,133.570007324219,138.949996948242,134.229995727539,110.849998474121,105.629997253418,110.25,121.269996643066,101.73999786377,98.1999969482422,86.7799987792969,126.940002441406,119.98999786377,6.55999994277954,8.69999980926514,12.8100004196167,16.7900009155273,21.3899993896484,25.2199993133545,26.9500007629395,26.6700000762939,23.7199993133545,17.6700000762939,12.4799995422363,7.90000009536743,42,133,0.293777853250504,0.254805147647858,0.435834169387817,Not snow-dominated,Not snow-dominated,Not snow-dominated,2022-11-17T22:08:58Z
