Record,Site_ID,Lat_Field,Long_Field,DRNAREA_mi2,Stream_name,Period,Region,Climate Class,Original Site,Class_actual,Class_nominal,Class_OSDAM,Class_final,Class_comb,SI_macro,SI_amph,SI_fish,Date,Time_tot,B&B,Structure,Texture,Erosion,Deposition,Sinuosity,Headcuts,GW,Springs,Leaflitter,Debris,Redox,Wetl_pl_M09,Roots,Mosses,Bacteria,Macro_M08,Macro_M09,Amph_M08,Amph_M09,Fish,Lichen,Riparian,Tot_geo_M09,Tot_hyd,Tot_bio_M09,Tot_all_M09,Width,Length,Slope_v,Slope_t,%Bedrock,SW_char,%SF,%SF_hyp,Pools,Q,Temp,Conduct,Thalwag,Straight,Ratio,Bends,Trichop,Hemip,Coleop,Decap,Ephem,Plecop,Basom,Odon,Other_macro,Macro_M09b,Macro_ind,Amph_ind,Wtl_pl_ind,Wet_hole,Dry_hole,Condition,Condition_2,Macro_present,Wtl_pl_present,Ephem_present,Per_macro_present,Slope_16,Slope_10_5
1,1,44.37028,-120.5341,4.33,Peterson Creek,S09,OR_e,D,Y,I,P,P,I,I,1,1,0,4/20/2009,1:30,3,3,3,1.5,3,2,1.5,0,2,1.5,1.5,0,0.75,3,0,0,3,3,1.5,1.5,0,0,3,17,5,11.25,33.25,2.2,110.6,5,4,0,Continuous surface flow,100,VNA,NA,0.09997,10.2,91.6,100,89,1.12,4,2,2,0,0,2,2,0,0,0,3,5 EPT,amphibian eggs,VNA,10,NA,VNA,natural,1,1,1,0,0,1
2,2,44.44382,-120.46974,0.58,Unnamed trib to Mark Creek,S09,OR_e,D,Y,I,P,P,I,I,1,0,0,4/20/2009,0:47,3,3,3,1.5,2,3,0.5,2,2,1.5,1,0,0.75,1,1,0,2,2,0,0,0,0,0,16,6.5,4.75,27.25,0.76,30.6,13,8,0,Continuous surface flow,100,VNA,NA,0.06131,10.8,162.6,30.6,18.8,1.63,3.5,2,0,0,0,1,0,0,0,4,2,northern caddisfly,none,VNA,-15,NA,VNA,natural,1,1,0,0,0,0
3,3,44.44571,-120.4689,1.65,Buck Creek,S09,OR_e,D,Y,I,P,P,I,I,1,0,0,4/20/2009,0:41,3,3,3,1.5,2,2,1,2,2,1.5,1.5,0,0.75,3,0,0,2,2,0,0,0,0,3,15.5,7,8.75,31.25,1.43,61.6,4,4,0,Continuous surface flow,100,VNA,NA,0.128,8.7,132.3,61.6,55.1,1.12,3,1,2,0,0,2,0,0,0,1,2,2 EPT,none,VNA,-15,NA,VNA,natural,1,1,1,0,0,1
4,5,44.45855,-120.44381,0.06,Unnamed trib to Mark Creek,S09,OR_e,D,Y,E,E,I,E,E,0,0,0,4/20/2009,0:30,2,2,1,1,1,2,1.5,2,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,10.5,4.5,0,15,0.55,30,6,5,0,Surface water absent,0,VNA,0,0,NA,NA,30,26,1.15,4,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,VNA,natural,0,0,0,0,0,1
5,7,44.48584,-120.39822,0.38,Unnamed trib to Mark Creek,S09,OR_e,D,Y,I,I,I,I,I,1,0,0,4/20/2009,0:50,3,1,2,1,0,3,0,3,2,1.5,0,0,0.75,0,0.5,0,1,2,0,0,0,0,0,10,6.5,3.25,19.75,0.5,30,3,2,0,Continuous surface flow,100,VNA,NA,0.00523,12.8,362.9,30,21,1.43,4.5,2,0,0,0,0,0,0,0,3,2,northern caddisfly,none,VNA,-15,NA,VNA,natural,1,1,0,0,0,1
6,8,44.49312,-120.39333,1.06,Unnamed trib to Mark Creek,S09,OR_e,D,Y,I,P,P,I,I,1,0,0,4/20/2009,0:50,3,3,3,1.5,3,3,0.5,3,3,1.5,0.5,1.5,0.75,3,0,0,3,2,0,0,0,0,3,17,9.5,8.75,35.25,0.53,30,3,2,0,Continuous surface flow,100,VNA,NA,0.04672,10.1,209.5,30,23.6,1.27,1.5,2,1,0,0,1,1,0,0,1,2,2 EPT,none,VNA,-5,NA,VNA,natural,1,1,0,0,0,1
7,9,44.5081,-120.37527,0.12,Unnamed trib to Hellen Creek,S09,OR_e,D,Y,I,E,I,I,I,1,0,0,4/20/2009,0:36,1,1,0,0.5,0,0,0,1,3,0.5,0,1.5,0.5,0,0,0,2,3,0,0,0,0,1,2.5,6,4.5,13,0,30,10,10,0,Surface flow present but not continuous,23,VNA,0,TS,5.6,171,NA,30,NA,2,1,0,0,0,1,1,0,0,0,4,golden stonefly,none,VNA,-35,-50,VNA,natural,1,0,0,1,0,1
8,10,44.52844,-120.36145,0.31,Downstream of Heflin Spring,S09,OR_e,D,Y,E,I,E,E,E,0,0,0,4/20/2009,0:35,0,0,0,0,0,0,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0.5,2.5,0,30,6,6,0,Surface water absent,0,VNA,0,0,NA,NA,NA,30,NA,0,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,VNA,natural,0,0,0,0,0,1
9,12,44.91041,-119.70325,5.94,Tamarack Creek,S09,OR_e,D,Y,P,P,P,P,P,1,0,0,4/23/2009,1:15,3,3,3,1.5,3,2,1.5,1,3,1.5,1.5,0,0.5,3,0,0,3,3,0,0,0,0,3,17,7,9.5,33.5,1.7,65,5,4,5,Continuous surface flow,100,VNA,NA,0.06507,4.9,178.4,65,56,1.16,2.5,2,0,0,0,4,4,0,0,3,4,5 EPT,none,VNA,0,NA,VNA,natural,1,0,1,1,0,1
10,13,44.95429,-119.71244,0.39,Kahler Creek,S09,OR_e,D,Y,I,I,I,E,E,0,0,0,4/23/2009,0:30,2,2,2,1,3,1,1,1,0,1.5,1.5,0,0.5,1,0,0,0,0,0,0,0,0,1,12,4,2.5,18.5,0.97,50,4,4,0,Continuous surface flow,100,VNA,NA,0.01077,4.3,119.3,50,47.5,1.05,3,0,0,0,0,0,0,0,0,0,0,none,none,VNA,-30,NA,VNA,modified natural,0,0,0,0,0,1
11,14,44.99478,-119.71346,4.52,Porter Creek,S09,OR_e,D,Y,I,P,P,I,I,1,0,0,4/23/2009,1:10,3,2,3,1.5,3,3,1,2,2,1.5,1.5,0,0.75,3,1.5,0,3,3,0,0,0,0,2,16.5,7,10.25,33.75,0.8,30,2,2,0,Continuous surface flow,100,VNA,NA,0.24752,8.5,64.1,30,24.8,1.21,4,3,0,0,0,1,4,0,0,0,3,5 EPT,none,VNA,5,NA,VNA,natural,1,1,0,0,0,1
12,15,44.28895,-118.97984,6.52,Vance Creek,S09,OR_e,D,Y,P,P,P,P,P,1,0,0,5/13/2009,0:50,3,3,3,1.5,3,2,1,2,1,1.5,1.5,1.5,1.5,3,0,0,3,3,0,0,0,0,3,16.5,7.5,10.5,34.5,1.2,48,3,3,0,Continuous surface flow,100,VNA,NA,0.12806,6.5,404.9,48,40.5,1.19,4,2,0,0,0,4,4,1,0,0,4,Juga,none,VNA,0,NA,VNA,modified natural,1,1,1,1,0,1
13,16,44.54368,-119.05699,13.1,Beech Creek,S09,OR_e,D,Y,P,P,P,I,I,1,0,0,6/10/2009,2:00,3,3,3,1.5,3,1,1.5,1,1,1.5,1.5,0,0.75,3,0,0,3,3,0,0,0,1.5,3,16,5,11.25,32.25,2.73,104,6,6,5,Continuous surface flow,100,VNA,NA,0.0803,9.9,135.1,104,99,1.05,3,4,2,0,0,4,1,0,0,0,3,5 EPT,none,VNA,-5,NA,VNA,modified natural,1,1,1,0,0,1
