sitecode,Class,Region_detail,Region,Note,lat,long,Region_detail2,beta_region,beta_id,ohwm_region,ohwm_id,corps_region,corps_id,nwca_region,nwca_id
ALSE8667_B,I,SE,East,NA,33.863378,-85.554491,SE,Southeast,2,Southeast,2,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ALSE8673_B,P,SE,East,NA,32.978692,-87.352142,SE,Southeast,2,Southeast,2,USACE Atlantic and Gulf Coastal Plain Region,3,CPL,1
ALSE8674_B,P,SE,East,NA,32.975835,-87.337656,SE,Southeast,2,Southeast,2,USACE Atlantic and Gulf Coastal Plain Region,3,CPL,1
ALSE8675_B,P,SE,East,NA,31.133242,-86.533692,SE,Southeast,2,Southeast,2,USACE Atlantic and Gulf Coastal Plain Region,3,CPL,1
ALSE8676_B,P,SE,East,NA,31.136637,-86.539989,SE,Southeast,2,Southeast,2,USACE Atlantic and Gulf Coastal Plain Region,3,CPL,1
ALSE8939_B,I,SE,East,NA,32.424037,-85.658641,SE,Southeast,2,Southeast,2,USACE Atlantic and Gulf Coastal Plain Region,3,CPL,1
ALSE8940_B,E,SE,East,NA,32.422897,-85.651429,SE,Southeast,2,Southeast,2,USACE Atlantic and Gulf Coastal Plain Region,3,CPL,1
ALSE8941_B,U,SE,East,NA,32.420643,-85.651346,SE,Southeast,2,Southeast,2,USACE Atlantic and Gulf Coastal Plain Region,3,CPL,1
ALSE9185_B,P,SE,East,NA,32.848227,-87.665288,SE,Southeast,2,Southeast,2,USACE Atlantic and Gulf Coastal Plain Region,3,CPL,1
ALSE9186_B,I,SE,East,NA,32.849788,-87.665509,SE,Southeast,2,Southeast,2,USACE Atlantic and Gulf Coastal Plain Region,3,CPL,1
ALSE9443_BO,I,SE,East,NA,32.980153,-87.348132,SE,Southeast,2,Southeast,2,USACE Atlantic and Gulf Coastal Plain Region,3,CPL,1
ALSE9533_B,I,SE,East,NA,32.955535,-87.982587,SE,Southeast,2,Southeast,2,USACE Atlantic and Gulf Coastal Plain Region,3,CPL,1
ALSE9534_B,P,SE,East,NA,32.984413,-88.008207,SE,Southeast,2,Southeast,2,USACE Atlantic and Gulf Coastal Plain Region,3,CPL,1
ALSE9592_V,I,SE,East,NA,33.313747,-86.485431,SE,Southeast,2,Southeast,2,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ALSE9594_V,I,SE,East,NA,33.302177,-86.477919,SE,Southeast,2,Southeast,2,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ALSE9595_V,I,SE,East,NA,33.31355,-86.482884,SE,Southeast,2,Southeast,2,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ALSE9596_V,P,SE,East,NA,33.312175,-86.480429,SE,Southeast,2,Southeast,2,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ARNE117_V,I,NE,East,NA,36.09019526,-94.1911621,NE,Northeast,1,Northeast,1,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ARNE125_V,P,NE,East,NA,36.04425474,-94.13390281,NE,Northeast,1,Northeast,1,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ARNE163_B,I,NE,East,NA,35.52911484,-92.9425981,NE,Northeast,1,Northeast,1,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ARNE171_B,I,NE,East,NA,35.57172973,-92.66318504,NE,Northeast,1,Northeast,1,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ARNE230_V,I,NE,East,NA,35.85014207,-90.72378663,NE,Northeast,1,Northeast,1,USACE Atlantic and Gulf Coastal Plain Region,3,CPL,1
ARNE8840_V,P,NE,East,NA,35.75100222,-93.76650677,NE,Northeast,1,Northeast,1,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ARNE8845_V,I,NE,East,NA,35.75182232,-93.77450269,NE,Northeast,1,Northeast,1,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ARNE8884_B,I,NE,East,NA,35.52160276,-92.66725986,NE,Northeast,1,Northeast,1,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ARNE8937_B,U,NE,East,NA,35.53749275,-92.92007405,NE,Northeast,1,Northeast,1,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ARSE5406_B,I,SE,East,NA,34.7972568,-93.00544856,SE,Southeast,2,Southeast,2,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ARSE8019_B,I,SE,East,NA,34.8019297,-93.00588944,SE,Southeast,2,Southeast,2,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ARSE8022_B,U,SE,East,NA,34.80579247,-92.99164729,SE,Southeast,2,Southeast,2,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ARSE9438_B,U,SE,East,NA,34.87455255,-92.96590346,SE,Southeast,2,Southeast,2,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ARSE9485_B,E,SE,East,NA,34.79382907,-93.02713404,SE,Southeast,2,Southeast,2,USACE Eastern Mountains and Piedmont Region,2,EMU,2
ARSE9486_B,E,SE,East,NA,34.79415589,-93.0274354,SE,Southeast,2,Southeast,2,USACE Eastern Mountains and Piedmont Region,2,EMU,2
AZAW0006,I,AW,West,NA,35.38319171,-113.6588376,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0007,E,AW,West,NA,35.16058005,-113.6364497,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,WMT,4
AZAW0008,I,AW,West,NA,35.05034808,-112.053128,AW,Arid West,6,Northwest,0,USACE Arid West Region,7,WMT,4
AZAW0014,P,AW,West,Q&D Interpretation of logger data,34.8602499,-111.7627571,AW,Arid West,6,Northwest,0,USACE Arid West Region,7,WMT,4
AZAW0022,I,AW,West,NA,34.63745261,-110.7132483,AW,Arid West,6,Northwest,0,USACE Arid West Region,7,WMT,4
AZAW0032,P,AW,West,NA,34.43316,-112.41875,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,WMT,4
AZAW0033,E,AW,West,NA,34.4215473,-113.2436757,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0035,P,AW,West,NA,34.31410878,-112.0610994,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,WMT,4
AZAW0036,P,AW,West,Q&D Interpretation of logger data,34.31449,-109.36232,AW,Arid West,6,Northwest,0,USACE Arid West Region,7,XER,5
AZAW0041,E,AW,West,NA,34.22962352,-113.6123128,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0042,E,AW,West,NA,34.21059966,-113.4634793,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0044,I,AW,West,NA,34.13337533,-111.7726015,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,WMT,4
AZAW0046,P,AW,West,NA,34.0899352,-110.8735716,AW,Arid West,6,Northwest,0,USACE Arid West Region,7,WMT,4
AZAW0050,I,AW,West,NA,33.97519212,-112.0960998,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0051,E,AW,West,NA,33.96906,-112.72501,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0053,E,AW,West,NA,33.88888711,-111.2151611,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,WMT,4
AZAW0055,I,AW,West,NA,33.88502,-112.66206,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0060,I,AW,West,Q&D Interpretation of logger data,33.79807929,-110.9671805,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,WMT,4
AZAW0065,E,AW,West,NA,33.643,-112.72083,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0066,E,AW,West,NA,33.63311297,-111.4449694,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0070,E,AW,West,Q&D review of logger data,34.34473947,-112.5993826,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,WMT,4
AZAW0072,E,AW,West,Q&D review of logger data,33.37551,-112.73676,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0074,I,AW,West,Q&D review of logger data,33.98091,-112.73013,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0076,I,AW,West,Q&D review of logger data,33.93182,-112.69567,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0081,P,AW,West,NA,32.35115001,-111.0961898,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0082,E,AW,West,NA,32.33531247,-111.0428462,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0084,I,AW,West,NA,32.3148914,-110.8110148,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0085,E,AW,West,NA,32.30112209,-111.010198,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0086,E,AW,West,NA,32.2708441,-110.9165627,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0090,I,AW,West,NA,32.13029607,-110.627963,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0099,E,AW,West,NA,31.83719773,-110.5691876,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0103,P,AW,West,NA,31.62549419,-110.1742672,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW0105,P,AW,West,NA,31.55342652,-110.1400127,AW,Arid West,6,Southwest,6,USACE Arid West Region,7,XER,5
AZAW9029,E,AW,West,Q&D Interpretation of logger data,34.52324344,-110.9951933,AW,Arid West,6,Northwest,0,"USACE Western Mountains, Valleys, and Coast Region",6,WMT,4
AZAW9030,E,AW,West,Q&D Interpretation of logger data. 2 days of  flow in late summer of 2022,34.52348363,-110.9953497,AW,Arid West,6,Northwest,0,"USACE Western Mountains, Valleys, and Coast Region",6,WMT,4
