MetricType,MetricSubtype,Metric,West,GP,East,PNW
Bio,BMI,BMI_presence,TRUE,TRUE,TRUE,TRUE
Bio,BMI,Ephemeroptera_SumOfIndividuals,TRUE,TRUE,TRUE,TRUE
Bio,BMI,Plecoptera_SumOfIndividuals,TRUE,TRUE,TRUE,TRUE
Bio,BMI,Trichoptera_SumOfIndividuals,TRUE,TRUE,TRUE,TRUE
Bio,BMI,Basommatophora_SumOfIndividuals,TRUE,TRUE,TRUE,TRUE
Bio,BMI,Odonata_SumOfIndividuals,TRUE,TRUE,TRUE,TRUE
Bio,BMI,Coleoptera_SumOfIndividuals,TRUE,TRUE,TRUE,TRUE
Bio,BMI,Hemiptera_SumOfIndividuals,TRUE,TRUE,TRUE,TRUE
Bio,BMI,Decapoda_SumOfIndividuals,TRUE,TRUE,TRUE,TRUE
Bio,BMI,OtherMacro_SumOfIndividuals,TRUE,TRUE,TRUE,TRUE
Bio,BMI,EPT_SumOfIndividuals,TRUE,TRUE,TRUE,TRUE
Bio,BMI,OCH_SumOfIndividuals,TRUE,TRUE,TRUE,TRUE
Bio,BMI,MacroGroupsPresent,TRUE,TRUE,TRUE,TRUE
Bio,BMI,PerennialPNWMacroPresent,TRUE,TRUE,TRUE,TRUE
Bio,Veg,hydrophytes_present_any,TRUE,TRUE,TRUE,TRUE
Bio,Veg,UplandRootedPlants_score2,TRUE,TRUE,TRUE,TRUE
Bio,Veg,UplandRootedPlants_score,TRUE,TRUE,TRUE,FALSE
Bio,Veg,FibrousRootedPlants_score,FALSE,FALSE,TRUE,FALSE
Bio,Veg,RiparianCorridor_score,TRUE,TRUE,TRUE,TRUE
Bio,Fish,Fish_UpTo3,FALSE,FALSE,TRUE,TRUE
Bio,Fish,Fish_score_NM,TRUE,TRUE,FALSE,FALSE
Bio,Fish,Fish_PA,TRUE,TRUE,TRUE,TRUE
Bio,Fish,Fish_PA_nomosq,TRUE,TRUE,TRUE,TRUE
Bio,Fish,Fish_UpTo3_nomosq,FALSE,FALSE,TRUE,TRUE
Bio,Fish,BMI_score,TRUE,TRUE,FALSE,FALSE
Bio,Fish,Algae_score,TRUE,TRUE,FALSE,FALSE
Bio,Other,ironox_bfscore_PNW,TRUE,TRUE,TRUE,TRUE
Bio,Other,Amphibian_presence,TRUE,TRUE,TRUE,TRUE
Bio,Other,AlgaeAbundanceMossCover_Score2,TRUE,TRUE,TRUE,TRUE
Bio,BMI,TotalAbundance,TRUE,TRUE,TRUE,FALSE
Bio,BMI,Richness,TRUE,TRUE,TRUE,FALSE
Bio,BMI,perennial_PNW_abundance,TRUE,TRUE,TRUE,FALSE
Bio,BMI,perennial_PNW_taxa,TRUE,TRUE,TRUE,FALSE
Bio,BMI,perennial_PNW_live_abundance,TRUE,TRUE,TRUE,FALSE
Bio,BMI,perennial_NC_abundance,TRUE,TRUE,TRUE,FALSE
Bio,BMI,perennial_NC_taxa,TRUE,TRUE,TRUE,FALSE
Bio,BMI,perennial_NC_live_abundance,TRUE,TRUE,TRUE,FALSE
Bio,BMI,Ephemeroptera_abundance,TRUE,TRUE,TRUE,FALSE
Bio,BMI,EPT_abundance,TRUE,TRUE,TRUE,FALSE
Bio,BMI,EPT_taxa,TRUE,TRUE,TRUE,FALSE
Bio,BMI,Plecoptera_abundance,TRUE,TRUE,TRUE,FALSE
Bio,BMI,Trichoptera_abundance,TRUE,TRUE,TRUE,FALSE
