sitecode,Class,Region_detail,Region,beta_region,beta_id,ohwm_region,ohwm_id,nwca_region,nwca_id,corps_region,corps_id,Note,lat,long
76,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,41.99907,-119.34003
77,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,42.00054,-119.38972
78,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,42.08057,-119.59604
79,I,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,42.08511,-119.61683
80,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,42.09296,-119.65202
81,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,42.10116,-119.71201
82,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,42.10483,-119.73469
83,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,42.10752,-119.74735
75,I,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,42.16487,-118.60408
84,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,42.18121,-119.97511
85,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,42.18488,-119.99065
86,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,42.18522,-119.99137
87,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,42.19072,-120.00322
88,I,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,42.20023,-120.01082
93,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,WMT,4,USACE Arid West Region,7,,42.32926,-120.85497
74,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,42.35164,-118.83721
94,I,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,WMT,4,USACE Arid West Region,7,,42.3915,-121.37127
843,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.12141,-115.48331
744,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.12227,-115.47954
743,I,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.12477,-115.4978
742,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.13131,-115.53141
842,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.13208,-115.5631
741,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.13926,-115.59671
740,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.14193,-115.60078
844,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.18272,-115.54623
745,P,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.20457,-115.55507
845,I,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.22768,-115.69827
847,I,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.24685,-115.58565
846,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.24929,-115.59612
746,I,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.25084,-115.63242
826,VNA,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.25084,-115.63242
827,VNA,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.25084,-115.63242
828,VNA,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.25084,-115.63242
747,I,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.25594,-115.68164
95,E,PNW,PNW,Pacific Northwest,7,Pacific Northwest,5,XER,5,USACE Arid West Region,7,,43.3687,-119.67022
