AI_Order,AI_Family,AI_Taxon2,AI_PerennialIndicator_PNW,AI_PerennialIndicator_NC
Acariformes,Acariformes,Acari,FALSE,FALSE
Acariformes,Acariformes,Acariformes,FALSE,FALSE
Acariformes,Acariformes,Hydrachnidia,FALSE,FALSE
Acariformes,Acariformes,Sperchon,FALSE,FALSE
Acariformes,Acariformes,Stygothrombiidae,FALSE,FALSE
Acariformes,Arachnida,Arachnida,FALSE,FALSE
Annelida,Annelida,Annelida,FALSE,FALSE
Annelida,Annelida,Erpobdellidae,FALSE,FALSE
Annelida,Annelida,Hirudinea,FALSE,FALSE
Annelida,Annelida,Oligochaeta,FALSE,FALSE
BIVALVIA,BIVALVE,Bivalvia,FALSE,FALSE
BIVALVIA,Corbiculidae,Corbiculidae,FALSE,FALSE
BIVALVIA,Dreissenidae,Dreissenidae,FALSE,FALSE
BIVALVIA,Margaritiferidae,Margaritiferidae,TRUE,FALSE
BIVALVIA,Sphaeriidae,Sphaeriidae,FALSE,FALSE
BIVALVIA,Unionidae,Unionida,TRUE,TRUE
BIVALVIA,Unionidae,Unionidae,TRUE,TRUE
CRUSTACEA,ASTACOIDEA,Astacoidea,FALSE,FALSE
CRUSTACEA,Amphipoda,Amphipoda,FALSE,FALSE
CRUSTACEA,Amphipoda,Crangonyctidae,FALSE,FALSE
CRUSTACEA,Amphipoda,Gammaridae,FALSE,FALSE
CRUSTACEA,Amphipoda,Hyalella,FALSE,FALSE
CRUSTACEA,Amphipoda,Hyalellidae,FALSE,FALSE
CRUSTACEA,Amphipoda,Talitridae,FALSE,FALSE
CRUSTACEA,Asellidae,Asellidae,FALSE,FALSE
CRUSTACEA,Asellidae,Caecidotea,FALSE,FALSE
CRUSTACEA,Astacidae,Astacidae,FALSE,FALSE
CRUSTACEA,COPEPODA,Copepoda,FALSE,FALSE
CRUSTACEA,CRUSTACEA,Crustacea,FALSE,FALSE
CRUSTACEA,Cambaridae,Cambaridae,FALSE,FALSE
CRUSTACEA,Cambaridae,Procambarus clarkii,FALSE,FALSE
CRUSTACEA,Cladocera,Daphnia,FALSE,FALSE
CRUSTACEA,Cladocera,Diplostraca,FALSE,FALSE
CRUSTACEA,DECAPODA,Decapoda,FALSE,FALSE
CRUSTACEA,DECAPODA,Palaemonidae,FALSE,FALSE
CRUSTACEA,Daphniidae,Daphniidae,FALSE,FALSE
CRUSTACEA,Isopoda,Isopoda,FALSE,FALSE
CRUSTACEA,Mysidae,Mysidae,FALSE,FALSE
CRUSTACEA,OSTRACODA,Ostracoda,FALSE,FALSE
CRUSTACEA,Oniscidae,Oniscidae,FALSE,FALSE
CRUSTACEA,Parastacidae,Parastacidae,FALSE,FALSE
Cnidaria,Cnidaria,Cnidaria,FALSE,FALSE
Coleoptera,Amphizoidae,Amphizoidae,FALSE,FALSE
Coleoptera,COLEOPTERA,Coleoptera,FALSE,FALSE
Coleoptera,COLEOPTERA,Hydrophiloidea,FALSE,FALSE
Coleoptera,Carabidae,Carabidae,FALSE,FALSE
Coleoptera,Dryopidae,Dryopidae,FALSE,FALSE
Coleoptera,Dryopidae,Helichus,FALSE,TRUE
Coleoptera,Dytiscidae,Agabus,FALSE,FALSE
